agyögwëh	agyö gwë h
wa’ödošök	wa’ ö došök
yagwe’s	yagw e’s
ëyënö’geät	ë y ënö’geä t
sawadiät	sa wa diät
agwawi’	agwa wi ’
goneoö’	go neo ö’
ayatgweni’	a y at gweni ’
agatowinyö’seh	ag atowinyö’se h
ni:’ah	n i:’ ah
gëhöde’	g ëhöde ’
aeswahsawë’	ae sw ahsawë ’
sawadäshäga’tši’	sa w adäshäga’tši ’
dega’nöshë’	de ga ’nöshë’
swasgatgwë’s	swa sgatgwë’ s
odiya’dagehëh	odi ya’d a geh ëh
gaëdi’gwah	ga ëdi’gwah
dëyökinönyö:’	d ë yöki nönyö :’
oähdö’geh	o ähdö’ geh
ähgwawänöe’	ähgwawä nöe ’
wa’aknihšöni’	wa’ akni hšöni ’
yödeyësta’	yö deyës ta’
agwaiwayë’	agwa iwa yë’
onöhgwë’da’	o nöhgwë’d a’
ënënöhdönyö:’	ën ënöhdönyö :’
yeowih	ye owi h
aknyatgwenye’s	akny atgwenye’ s
honënöedöh	hon ënöedö h
ëdwa’hödë’	ë dw a’hö dë’
ashögwagë’	a shögwa gë ’
wodiya’dayeih	wodi ya’d a yei h
ëyodinöe’t	ë yodi nöe’t
aonöe’t	a o nöe’t
agajënöni’	a g ajënöni ’
aknyadowis	akny adowi s
aödiögohdë’	a ödi ögohd ë’
ënöete’s	ënö ete’ s
waešenö’	wa e šenö ’
hayagwe:’	h a yagw e :’
yajënönih	y ajënöni h
ëwö’hödë’	ë wö ’höd ë’
isah	i s ah
wäh	wäh
nöwënöjë’s	n ö w ënöjë’ s
yögeowih	yöge owi h
wahsawë’	w ahsawë ’
hadiya’tgëh	hadi ya’tgë h
goya’dayeisdahgwa’	go ya’d a yeis dahgwa’
nionyö’öh	ni onyö’ öh
ëdwajo:’dat	ë dw ajo:’dat
naesnyaje:’	n ae snyaje :’
de’wajo’das	de’ w ajo’das
onösgä’	o nösg ä’
ayesëdë:’	a yesë dë :’
ëyötganye:’	ë yö tganye :’
yadaöhdiyosta’	y adaöhd iyos ta’
hagögëyadanih	hagö gëyadani h
waënënishäyeöni’	wa ë nishä ye öni ’
naöwöya’dageha’	na öwö ya’d a geha ’
ne'hojih	ne'ho jih
esnyades’a:’	e sny ades’a :’
nigiwayëdeih	ni g iwa yëdei h
ayaknyahsawë’	a yakny ahsa wë ’
dëgyatak	d ë gy ata k
nëgës	n ë g ës
ëšëdiak	ë š ëdi ak
dekni’jö’	de kn i’jö’
nioyeëh	ni o yeë h
odiyëönö’	odi yëö nö’
ayöhsoh	a yö hso h
hojanön	ho janön
o'sesnye’	o' se snye’
wa’eiwahset	wa’ e iwa hset
swajëök	sw ajëö k
ho’kne:’	ho’ kn e:’
etiyade’	eti yad e’
nö’odiya’dawëh	nö’ odi ya’d a wë h
o’ya’shö’	o’ya’ shö’
agwanöge’	agwa nöge ’
wa’agwatšowi’	wa’ agw atšowi ’
hëhšö’	h ë hš ö ’
wënödaöhdiyosta’	wënö daöhd iyos ta’
hadiyenös	hadi yenö s
gonösde’	go nösd e’
aöwödishe:’	a öwödi she :’
ëyaknyatšonyanö:’	ë yakny atšon yanö :’
ëshagonöe’t	ë shago nöe’ t
hodiyei’önö’	hodi yei ’ö nö’
nagaye:’	n a ga ye :’
hadiya’kö’	hadi ya’k ö’
onë’dagöh	o në’da göh
dodöëdzonih	d o döëdzoni h
ähgwa’shö’öh	ähgwa ’shö’öh
ëigweni’	ë i gwen i’
agwënö’geäta’	agw ënö’geä ta’
ëyögwëhnödönyoök	ë yögw ëhnödönyo ök
dodawënyeh	d o dawënye h
da’ösawagida’	da ’ösa wag ida’
niyoiwageh	ni yo iwa geh
akeshe:’	a ke she :’
satgato’	s atgat o’
o’wadegwat	o’ w ade gwat
onyeä’	o nyeä’
gwa’hoh	gwa’hoh
ëhsidë:’	ë hs idë :’
ojihsö’da’	o jihsö’d a’
ëhsatgato’	ë hs atgat o’
dawënöhdö:’	d a w ënöhdö :’
ye’howekta’	ye ’howekt a’
dwahsödekshö’öh	d w ahsöd ek shö’öh
aehniya’dageha’	ae hni ya’d a geh a’
o’wagatgato’	o’ wag atgat o’
hodiöwö’shö’öh	hodi öwö’ shö’öh
waiowi’	wa iowi ’
o’tgadögot	o’t g adögot
swayë’he’öh	swa yë’he’ öh
hatgwenye’s	h at gwenye’s
niwe’s	ni we’s
deswawënyes	de swa wënyes
ogahgwä:’	o gahgwä :’
swatgëös	sw at gëö s
gaekëöshä’	ga ekëö shä’
ëswadoishë:’	ë sw ad oi shë :’
ökniya’dagehëh	ökni ya’d a gehë h
edwanösgo’	e dwa nösg o’
ayaknyadeköni’	a yakny ade köni ’
ahsnöe’t	a hs nöe’ t
ëwödahgwi’	ë wö dahgwi ’
shadiyanöhsia’	s hadi yanöhsia ’
ëyetiewat	ë yeti e wat
ayesanöe’t	a yesa nöe’ t
aesniyënëda’t	ae sni yënëda’ t
waënödahset	waënö da hset
ëösanöe’t	ë ösa nöe’ t
o’swaya’dageha’	o’ swa ya’d a geh a’
o’knöhet	o’ k nöhet
yöjönyanih	yö jönyani h
nigwegöh	ni gwe göh
akhsotgowah	ak hsot gowah
ögwadönih	ögw adöni h
yögweh	yö gweh
oähgwa’	o ähgwa ’
ëwënötgweni’	ë wënö t gweni ’
hëgajëno’kdë’	h ë ga jëno’kd ë’
öknigwenyöh	ökni gwenyö h
o’nöda’	o ’nöd a’
niga’hasdek	ni ga’hasde k
agwenyöh	agw enyö h
aënödeköni’	a ënö de köni ’
deyögwawënyeh	de yögw awënye h
ëyonënöet	ë yo nënöet
dwadö’s	dw adö’s
wa’akninösgo’	wa’ akni nös go’
ha’degagön	ha’ de ga gön
ayakninösgo’	a yakni nös go’
agatga’	a g atga ’
ayaknihodö:’	a yakni hodö :’
ayö’	ayö’
ogwenye’s	ogw enye’ s
ëiyë’he’t	ëi yë’he’ t
hosaonöje:’	hosao nöje :’
gyëdih	g yëdi h
ëgyögo’	ë g yög o’
gëdzöh	g ëdzö h
gashä’	ga shä ’
heyodio’k	he yo dio’ k
wa’öknöhgödë’	wa’ ök nöhgöd ë’
o’gëöh	o’ g ëö h
ëödö:’	ëö dö :’
de’agwayëdeih	de’ agwa yëdei h
tknöge’	t k nöge ’
ësheswashe:’	ë sheswa she :’
o’sahget	o’ s ahget
o’sajä’dak	o’ s ajä’da k
dayaknyatak	d a yakny atak
aeswatganya’t	ae sw at ganya’ t
gyeä’dahgwa’	g ye ä’dahgwa ’
aeskniowi’	ae s kni owi ’
ëgyatga’	ë g yatg a’
aeswashe:’	ae swa she :’
gasenë’shö’öh	ga senë’ shö’öh
deyaknidenyös	de yakni denyö s
eswadënodë’	e sw adënod ë’
wa’esanöe’t	wa’ esa nöe’ t
ie’s	i e’ s
onëhgë’da’	o nëhgë’d a’
aeswageodönyö:’	ae s wage odönyö:’
oya:’jih	o ya:’ jih
gayëtwashö’	ga yëtwa shö’
dëshak	d ë s h a k
o’dzawënye:’	o’ dz awënye :’
daagwisdë’	daa g wisd ë’
skninöe’s	s kni nöe’ s
nö’gat	n ö’ g a t
ojigwë’da’	o jigwë’d a’
odihodö’	odi hod ö’
wa’odinyak	wa’ odi nyak
ëyögwëdë:’	ë yögw ëdë :’
keyëdinonö’	ke yëdino nö’
wahdëje’s	w ahdëje’ s
awënödiatödat	a wënö dia tödat
ësheyësdë’	ë she yësd ë’
hëye’sek	h ë ye’se k
oiwaweso’	o iwa weso ’
gäit	gä it
asënö’geät	a s ënö’geä t
shedës	she dë s
enöe’t	e nöe’ t
shagodinöe’öh	shagodi nöe’ öh
ëyatšonyanö:’	ë y atšon yanö :’
ëgyahsawë’	ë gyahsawë ’
aënënö’geät	a ën ënö’geä t
niwagya’dawës	ni wag ya’d a wës
tšiseksa’ah	tši se ksa’ ah
gayëösdöh	ga yëösdö h
de’sgegëh	de’ s ge gë h
wa’ökni’she:’	wa’ ökni’she:’
yögwayëdak	yögwa yëda k
ni:’	n i :’
honödö’se:’öh	honö dö’se:’ öh
ëöhset	ë ö hset
o’shagodigë’	o’ shagodi gë ’
gëödo’	gë ödo ’
ösakegë’	ösa ke gë ’
gëhgaod	g ëhgaod
o’wahsödadia’t	o’ w ahsöd a dia’t
aknigwas	akni gwas
ayade’go’	a y ade’go ’
o’sadowi’	o’ s adowi ’
ëöwöya’dageha’	ë öwö ya’d a geh a’
ahsadojak	a hs adoja k
öedögwah	öedö gwah
wënënöeta’	wën ënöe ta’
tigagwegöh	ti ga gwe göh
ehnihodö:’	e hn ihodö :’
dëjagohdëja’t	d ë jago hdëj a’t
ga’sehdiyanowe’	ga ’sehd i yanowe ’
o’kyadönyöh	o’ k yadö nyöh
ho’wënishädenyöje’	h o’ w ënishä denyö je’
tösashö’	t ösa shö ’
eshesniowi’	e shesni owi ’
tsa’degahate’dahgöh	tsa’ de ga hate’dah göh
dëgadawënye:’	d ë g adawënye :’
ögwajënönih	ögw ajënöni h
dewawënyes	de w awënye s
waöknöhgödënyo:’	wa ök nöhgödë nyo :’
ha’degaënögeh	ha’ de ga ënö geh
waönidëste’	wa öni dëste’
gyö’öh	gyö’öh
swadënökshö’	sw adë nök shö’
o’gyatgweni’	o’ g yat gweni ’
wa’ökidë:’	wa’ ök idë :’
edwënö’geät	e dw ënö’geä t
onöhsodaiö:’	o nöhsodaiö :’
ëjidwayëto’	ë ji dwa yët o’
ëyeshe:’	ë ye she :’
tiagödaje’	ti agödaje’
ogägwegöh	o gägweg öh
ganöhsesgeka:’	ga nöhs es ge ka:’
niga:’	n i ga :’
aesnyaja’dageh	ae sny aja’d a geh
da’ahsega’ëyö:’	da’ a hse ga’ëyö :’
o’wënënöet	o’ wën ënöet
hojisda’	h o jisd a’
o’kenöe’t	o’ ke nöe’ t
dadiga’eyö:’	d adi ga’eyö :’
ëödiowi’	ë ödi owi ’
waënödënitgädö:’	wa ënö dënitgädö :’
tšisedehjih	tši sedehjih
o’keyëwötas	o’ ke yëwötas
esniya’dageha’	e sni ya’d a geh a’
eswahdëdi’	e sw ahdëdi ’
hoha’shä’	ho ha’ shä’
o’döhgwa’	o ’döhgwa ’
gohigwä:’	go higwä :’
ëyadahset	ë y ada hset
waodiwanägo’	wa od iwa näg o’
honënöedöh	hon ënöed öh
dayeyagë’t	da ye yagë’ t
oga’	o ga ’
ëhsesnye’šö:’	ë hs esnye’ šö :’
ëyögwagweni’	ë yögw agweni ’
ënödowäs	ënö dowä s
ëyodadë:’	ë yo dadë :’
etinö’ëshö’öh	eti nö’ë shö’öh
o’wënödzët	o’ w ënödzët
ësknidë:’	ë skn idë :’
ageowi’	age owi ’
o’wadigo’	o’ w adigo ’
dawënöwënye:’	d a wënö wënye :’
wadöta’	w adöt a’
oihät	o ihät
hösayeyö’	h ösa ye yö ’
sagënöhdönyö:’	sag ënöhdö nyö :’
o’swanöe’t	o’ swa nöe’ t
ayonödi’	a yonö di ’
datak	d atak
askninöe’t	a skni nöe’ t
ahsadowi’	a hs adowi ’
naöëdzo’dë’	na öëdz o’dë ’
yashe’s	ya she’ s
sade’sgoh	s ade’sgo h
dašnye’t	d a šnye’ t
waënödah	wa ënö da h
sgatgwegöh	s g atgweg öh
o’tšadä’negë:’	o’ tš adä’negë :’
niyegëhjih	ni ye gëhjih
sgeowih	sge owi h
tëne’s	t ën e’ s
ëtgahsawë’	ë t g ahsawë ’
ata’dö:’	a ta’dö :’
ëöwödishe:’	ë öwödi she :’
eshesniya’dageha’	e shesni ya’d a geh a’
aesnyadeyës	ae sny ade yës
aegë’	a e gë ’
ayöknigweni’	a yökni gweni ’
heshe’s	he she’ s
edwadawë’	e dw adawë ’
eënöet	e ë nöet
dasayogëhödi’	da sa yo gëhödi ’
yesanöe’s	yesa nöe’ s
wa’odiowi’	wa’ odi owi ’
hadieta’	hadi et a’
wadihšöni’	w adi hšöni ’
jagotga’wëh	jago tga ’wëh
hehsegë’	hehse gë ’
ëhsadeyëös	ë hs adeyëös
ëökyowi’	ë öky owi ’
wa’akniya’dageha’	wa’ akni ya’d a geh a’
dënödih	d ënödi h
eswatgëh	e sw atgë h
wa’kniyö’	wa’ kni yö ’
heyogödahgöh	he yog ödahg öh
tiyöëdzagwegöh	ti y öëdza gweg öh
ayaknyades’a:’	a yakny ades’a:’
wa’ögwadëste’	wa’ ögw adëst e’
dasnye’t	d asnye’t
o’tagöhsa:’hä:’t	o’ tagö hsa:’hä:’ t
honidës	hon idës
niyögidësgwa’	ni yög idës gwa’
ësgeshe:’	ë sge she :’
dawënöhsëto’	dawënöhsëto’
ga’sehdagöh	ga ’sehda göh
kdake’s	k dake’ s
aknënö’geäta’	akn ënö’geä ta’
agegweni’	age gweni ’
gonyos	go nyo s
o’gyeä’dak	o’ g yeä’dak
ayaknyata’dö:’	a yakny ata’dö :’
honödawëh	honö dawë h
eskninöe’t	e skni nöe’ t
agatak	a g atak
ëgyöwötas	ë g y öwötas
gi’shëh	gi’shëh
ëhsnye’šö:’	ë hsnye’ šö :’
hojohdëjöh	ho johdëj öh
ëdwahodö:’	ë dwa hodö :’
onegawänöe’	o nega wänöe ’
ëswahsawë’	ë sw ahsawë ’
ëhnihodö:’	ë hni hodö :’
oyahje’	o yahje’
ašas	a š as
waëh	waëh
wa’ökyonyanö:’	wa’ öky onyanö :’
dagajo:’dat	da g ajo:’dat
dëgyawënye:’	d ë gy awënye :’
waiwayë’	w a iwa yë’
sgadogweta’	s g adogweta’
niënö’s’uh	ni ënö’s ’uh
shöh	shöh
hadikönih	hadi köni h
geshewagö’s	ge shewa gö’s
eswadeköni’	e sw ade köni ’
ëhasdiwatödëh	ë ha sdiwatöd ëh
dayagwayaya’k	da yagwa yaya’k
yödaödö:’	yö da ödö :’
ësgögë’	ë s gö gë ’
gaksa’ah	ga ksa’ ah
agahšönih	aga hšöni h
o’gyadaödö:’	o’ gy ada ödö :’
ha’degagöh	ha’degagöh
jagwenöge’	j agwe nöge ’
hegade’	he ga de ’
ëjakniyö’	ë j akni yö ’
gwanöe’s	gwa nöe’s
ëdwaiwaies	ë dwa iwai es
netihsot	ne ti hsot
o’tanö’skoda’t	o’ ta nö’skoda’ t
deshonödawënyeh	de s honö dawënye h
gëhödaje’	g ëhöda je’
ëwöswëök	ë wö swëök
ögyësdanih	ög yësd anih
ëhsatgëh	ë hs atgë h
o’dwanë’nyaë’	o’ d wa në’nya ë’
akedë:’	a ke dë :’
wadinöe’t	w adi nöe’ t
niyogä:’	ni yog ä :’
snyahseta’	sny ahset a’
ha’dëö	ha’dëö
gadögweta’	g adögwe ta’
göhiyohkoh	gö hiyohko h
hënödowis	hënö dowi s
ögwanösgwayë’	ögwa nösgwa yë’
gyatgëös	gy atgëö s
ëswödi’no’t	ë s wö di’no’ t
ashesniowi’	a shesni owi’
yadiatödas	y adiatöd as
da’aknöe’ö:’	da’aknöe’ö:’
shegëh	s he gë h
aesheswëdë:’	ae sheswë dë :’
honöde’nöhdahöh	honö de’ nöhdah öh
o’keya’dihsak	o’ ke ya’d ihsa k
shehninöe’öh	shehni nöe’ öh
öknënö’gädöh	ök nënö’gäd öh
ëkyatšonyanö:’	ë ky atšony anö :’
hota:’	ho ta :’
ayaknyajeä’t	a yakny ajeä’t
ëkawi’	ë k awi ’
ëgënöhdönyö:’	ë g ënöhdö nyö :’
ëyawëödë’	ë y awëöd ë’
agadeyësdöh	ag adeyësd öh
ëwënötganya’t	ë wënö tganya’t
ëwödiöni’	ë wö diöni ’
niyoisda:’eh	ni yo isda:’ eh
gaöda’	ga öda ’
o’satgato’	o’ s atgat o’
gahsi’da’geh	ga hsi’d a’ geh
yehsënowanëh	ye hsëno wanëh
de’iwayëdeih	de’ iwa yëdei h
ësnyahsawë’	ë sny ahsawë ’
hëšatgödak	h ë š atgödak
sögashä’t	s ögashä’t
aö’esat	a ö’esa t
hegähgwë’sgwah	he gä hgwë’s gwah
o’gadeyës	o’ g adeyës
de’ogee’	de’ o gee ’
ëkniya’dageha’	ë kni ya’d a geh a’
ëgadiatödat	ë g adiatödat
oiwa’shö’öh	o iwa ’ shö’öh
wadiyë’he’t	w adi yë’he’ t
hëyowënöwisat	h ë yo wënöwisat
hodi’nigöë’geh	hodi ’nigöë’ geh
hadahseta’	h ada hset a’
ëötganya’t	ë ö tganya’t
ëhsaja’dageha’	ë hs aja’d a geh a’
oji’gä’	o ji’gä ’
dwadowis	dw adowi s
tsa’dwat	tsa’ d w at
ëdwanöe’t	ë dwa nöe’ t
gaëhdo’yaka:’	ga ëhdo’ya ka:’
agiwa’	ag iwa ’
agadiwadenyö’	ag ad iwa denyö ’
ashakniya’dageha’	a shakni ya’d a geh a’
deodöëdzonih	de o döëdzoni h
nisnyajeha’	ni sny aje ha’
de’agoyëhe’ö:’	de’ ago yëhe’ ö :’
saiwayë’	sa iway ë’
o’dwajës	o’ d wajës
ëöšëya’döh	ë öš ëya’dö h
ënikwais	ë ni kwais
ginöe’s	gi nöe’s
ëgyadënodë’	ë gy adënod ë’
niyaknyajeha’	ni yakny aje ha’
nödowa’ga:’	nödowa’ ga:’
gaënödëh	ga ënödë h
ëyadawë’	ë y adawë ’
tganöhsesgeh	t ga nöhs es geh
degadenyös	de ga denyös
ögwadeyës	ögw adeyës
o’wënödes’a:’	o’ wënö des’a :’
niyonishe’t	ni yonis he’t
gwisagöh	g wisag öh
aedi’gwah	ae di’gwah
nigaies	ni ga ies
gayadoshä’geh	ga yado shä’ geh
aeshesniya’dageha’	ae shesni ya’d a geh a’
heyogë’t	he yo gë’t
odigwenyöh	odi gweny öh
agwaksa’shö’öh	agwa ksa’ shö’öh
dahsahsëto’	d ahsahsët o’
ëhsatšowi’	ëh s atšowi ’
da’agida’öh	da’ ag ida’ öh
wa:’hödë’	w a:’höd ë’
ëswënöhdö:’	ë sw ënöhdö :’
nö’öje’	nö ’ ö je ’
daiowanën	da iowa nën
ganöhsot	ga nöhsot
hadidake’	hadi dake ’
ëyöknigweni’	ë yökni gweni ’
wösatahas	w ösa tahas
niwagöëdzo’dë’	ni wag öëdzo’ dë’
dewagya’dis	de wag ya’d is
wadödë’	w adöd ë’
ëdwatganya’t	ë dwa tganya’t
onëganos	o nëga nos
o’tgawënye:’	o’ t g awënye :’
ëyöknigeodönyö:’	ë yökni geod önyö :’
yehodö:’	ye hodö :’
ëhsata’dö:’	ë hs ata’dö :’
ëyagwayëda’k	ë yagwa yë da’k
ga’nigöiyoh	ga ’nigö iyo h
aesnyadi’	ae sny adi ’
gëöyagëshä’	g ëöyagë shä’
esnyadajenö’	e sny adajenö ’
ësnö’dzodë’	ë s nö’dzod ë’
dadisnye’t	d adi snye’ t
esi’	e s i ’
hëyë’	h ë y ë ’
nësnyaje:’	n ë sny aje :’
hënöhdö’	h ënöhdö ’
hese’sgwa’	he s e’s gwa’
o’gayë’he’t	o’ ga yë’he’ t
agasgatgwëh	aga sgatgwë h
wa’eiwanöe’t	wa’ e iwa nöe’ t
yeyëönö’	ye yëö nö’
hadiyasho’	hadi yas ho’
hodiwiyösdöh	hodiwi yösdö h
gega:’geh	ge ga:’ geh
tënënö’gähdöh	tënë nö’gähd öh
o’jagwë’nyaë’	o’ j agwë ’nya ë’
o’knegeä’	o’ k nege ä’
deyagohda:’	de yago hda :’
hejöhe’t	he j öhe’ t
yeyëdinö’	ye yëdi nö’
ëtonöhdös	ë ton öhdö s
ëhninösgo’	ë hni nösg o’
agadowi’	a g adowi ’
snyatganyeh	sny atganye h
de’oeo’dawëhde’	de’ o eo’dawëhd e’
waëdë:’	wa ë dë :’
sgënöhdönyöh	s gënöhd önyö h
hagöstwi’es	ha gö stwi’ es
ëyesaya’dageha’	ë yesa ya’d a geh a’
aonödi’	a onö di ’
ieh	i eh
yëdës	yë dë s
ëiögo’	ë iö g o’
sgwagëh	s gwa gë h
heyënöhdönyöh	he y ënöhdö nyö h
tëne:’	t ën e :’
ayöknigë’	a yökni gë ’
sanöhsot	sa nöhsot
ëyöjeä’t	ë yö je ä’t
ëwöjowi’	ë w ö jowi ’
ëyagwaninönö’	ë yagwa ninö nö’
wadigeö’	w adi ge ö ’
niyagawënishägeh	ni yagawë nishä geh
dayeyö’	da ye yö ’
ëwöknökdë’	ë wök nökd ë’
ëyögwadashähgwaniak	ë yögw adashähgwani ak
watganye:’	w atganye :’
dada’t	d a da’ t
ëyötak	ë yö tak
ahsehšöni’	a hs ehšöni ’
dayešnye’t	da ye šnye’ t
waëtgë’	wa ëtgë ’
sënöhdö’	s ënöhdö ’
ögahdö:’	öga hdö :’
o’dwënödawënye:’	o’ d wënö dawënye :’
nësaje:’	n ës aje :’
ahset	a hset
wajë:’	w ajë :’
ësnyadi’	ë snya di ’
sënönih	s ënöni h
o’gadö:’	o’ g adö :’
dëdwat	dë dw at
dasta’	dasta’
gyadaödö:’	gy ada ödö :’
ögwaënö’	ögwa ënö ’
dëyawënye:’	d ë y awënye :’
ëhsadadatgaëö’	ë hs adad atgaëö’
nëtgade’	n ë t ga de’
heyonöja’göh	he yonö ja’gö h
aesni’	ae sni ’
dawagënöhdök	d a wag ënöhdö k
niyugu’uh	ni yug u’uh
shonöhdëjöh	s honö hdëj öh
eënö’geät	e ënö’geät
o’jagwadögot	o’ j agw adögot
agwayë’he’öje’	agwa yë’he’ ö je’
tiyöëdzagwegöh	ti y öëdza gwegöh
o’ta’wastaah	o’ t a’wastaa h
hodiwisdayë’	hodi wisd a yë’
ëgahšöniak	ë ga hšöni ak
yayë’	ya yë ’
aye’	aye’
edwatgëh	e dw atgë h
ëkedë:’	ë ke dë :’
odigeodönyöh	odi geod önyö h
tonötganyeh	t onö tganye h
onödowa’geonö’	o nödowa’ ge onö’
ëdwayë’he’t	ë dwa yë’he’ t
aehnishe:’	ae hni she :’
hodigëh	hodi gë h
hekne’sgwa’	he kne’s gwa’
akninöe’s	a kni nöe’ s
ëgayeä’dak	ë ga yeä’d ak
o’gyënëda’t	o’ g yënëda’ t
ëskyowi’	ë sky owi ’
o’gaya’k	o’ ga ya’k
agešnye’t	agešnye’t
ëwötšëödase’	ë w ö tšëödase ’
hakea’	h a ke a ’
deyadahnönyöh	de y adahn önyö h
awadiköni’	a wadi köni ’
shesninöe’öh	shesni nöe’ öh
eswaya’dageha’	e swa ya’d a geh a’
o’dwatak	o’ d w atak
ohiyo’gwah	o hiyo’ gwah
shonödadëöh	s honö dadëö h
ëwödiyagë’t	ë wödi yagë’ t
niyagwadih	ni yagw adi h
sayödewadë’	sa yö dewad ë’
waihšöni’	wa i hšöni ’
dwaya’s	dwa ya’ s
niyagwajehak	ni yagw aje ha k
hage’sek	h a ge’s ek
sheyatgatoh	she yatgato h
gaiwayëdak	ga iwa yë dak
swagyöh	s wag yö h
hadigëhjishö’öh	hadi gëhji shö’öh
towödihsadö’	t owödi hsadö ’
ga’šodä:’	ga ’šodä :’
agyadekönyanö’	agy adeköny anö ’
hejagoyagë’öh	he jago yagë’ öh
wa’aknyatgëh	wa’ akny atgë h
ëöhšöni’	ë ö hšöni ’
o’shagodiyö’	o’ shagodi yö ’
hodiwiyosdöh	hodi wiyosdö h
wënödes’a:’	wënö des’a :’
ësaowi’	ësa owi ’
ha’dadiya’diha’	ha’ d adi ya’di ha’
o’shaknidë:’	o’ shakn idë :’
sajöh	s ajö h
godiwadenyö’	go d iwa denyö ’
taknigöëyënih	t ak nigöëyëni h
nëh	nëh
niyoisda’ek	ni yo isd a’ ek
dëswatak	d ë sw atak
wagweni’	w a gweni ’
howöde’	howö de ’
wa’ökiyo’	wa’ öki yo ’
ëhša’dageha’	ë hš a’d a geh a’
wadijën	w adi jë n
johsa’	j ohsa ’
wagya’dageha’	w ag ya’d a geh a’
dawadawënye:’	d a w ada wënye :’
ayodigweni’	a yodi gweni ’
ayaknya’hödë’	a yakny a’höd ë’
snyatgëöh	sny atgëö h
ëgäje’	ë g äje ’
ho’ge:’	h o ’g e :’
ëgades’a:’	ë g ades’a :’
ësniyödago’	ë sni yöda go’
da’daosaya’dagehëh	da’ dao sa ya’d a geh ëh
agaja’dagehas	ag aja’d a geh as
dwadeyësta’	dw ade yës ta’
ëswageodönyö	ë sw ageodö nyö
gyadënota’	gy adëno ta’
gotganya’döh	go tganya’ döh
sheya’dagehëh	she ya’d a geh ëh
o’gatsën	o’ g atsën
ëhnënöet	ë hn ënöe t
owgenyöh	owge nyöh
heta’	h e ta’
wa’aknyadaöhdiyos	wa’ akny adaöhdiyos
ëhsadojak	ë hs adojak
satahgwëh	s atah gwëh
aksot	ak sot
agöhö’t	ag öhö’ t
ëhsadögwe’	ë hs adögwe’
ehnishe:’	e hni she :’
öknyaje’s	ökny aje’s
ëkekwanön	ë ke kw a nön
wa’aknyadeyës	wa’ akny ade yës
shögwanögödenyeh	shögwa nögöd enye h
aknigöë’geh	ak nigöë’ geh
wögö’	w ög ö ’
hawe:’	ha we :’
wënöjënönih	w ënö jënöni h
do’onëhjih	do’ onëh jih
wadëdoek	w adëdoe k
o’ša’k	o’ š a’ k
onö’gägo’	o nö’gägo ’
ënöjowi’	ënö jowi ’
hegähgwë’s	he gä hgwë’ s
keiwadëhdanih	ke iwa dëh dani h
ëöwodiowi’	ë öwodi owi ’
niyoiwa’	ni yo iwa ’
ëshënöjo’data’	ë s hënö jo’d a ta’
ahsadeyës	a hs adeyës
ayetšidë:’	a yetš idë :’
ëgadënö’geät	ë g adënö’geät
aedwayeä’dak	ae dwa yeä’da k
dëgwanönyö:’	d ë gwa nö nyö :’
hegegwas	he ge gwas
hona’gaiwanës	ho na’ga iwanë s
dëgawënye:’	d ë ga wënye :’
o’satgëh	o’ s atgë h
ësedzagö:’	ë se dzagö :’
o’gajo:’dahsi’	o’ g ajo:’da hsi’
da’dewagadëdzonih	da’ de w agadëdzoni h
dewahsö	de w ahsö
deswayenö’	d eswa yenö ’
ösödagöh	ösö dagö h
haiwayëöh	ha iwa yëö h
hëgae’	h ë ga e ’
ahsatga’	a hs atg a’
tota’	t o ta ’
hëöweh	hëöweh
dagya’dagë’t	d a g ya’d a gë’ t
wadiköni’	w adi köni ’
hëdës	hë dë s
aodidogës	a odi dogës
o’gyadawë’	o’ gy adawë ’
ëhnyatganya’t	ë hny atganya’ t
ögwe’öweneh	ögw e’öwe neh
o’kedë:’	o’ ke dë :’
henöe’öh	he nöe’ö h
agyatgëh	agy atgë h
aeswajeä’t	ae sw ajeä’ t
ëhsnösgo’	ë hs nös go’
o’wadiwahdëdi’	o’w ad iwa hdëdi ’
ëwödeköni’	ë wö de köni ’
niyönishe’t	ni yö nishe’ t
ahsajeä’t	a hs ajeä’ t
sayögwa’se:’	sa yögwa ’se :’
hahsaha’	ha hsah a’
sadeyësdöh	s ade yës dö h
wa’ögwëdëste’	wa’ ögw ëdë ste’
snyadaödö:’	sny ada ödö :’
ga’se	ga ’se
onënöetöh	o nënöetö h
haya’dagehas	ha ya’d a geh as
shenöe’öh	she nöe’ö h
sayagwayö’	sa yagwa yö ’
da’agyëda’k	da’ agy ëda’k
ashesnigë’	a shes nigë ’
watak	w atak
högak	högak
o’disnideni’	o’ di sni deni ’
ëyagwatgëö’	ë yagw atgëö ’
sënöhdönyöh	s ënöhdö nyö h
ehniögo’	e hni ögo ’
swakönih	sw aköni h
asknigë’	a skni gë ’
ha’dewahsënöh	ha’ de w ahsënö h
aeswaja’dageh	ae sw aja’d a geh
ëwötwadase’	ë wö twadase’
ganöhsön	ga nöhs ön
gwas	gwas
ëyadaödö:’	ë y ada ödö :’
aeswade’go’	ae sw ade’ go’
hadisae’ja’s	hadi sae’ja’ s
deyosohgwageh	de yo sohgwage h
ajeä’t	ajeä’ t
yökdös	yö kdö s
eya’dageha’	e ya’d a geh a’
aidë:’	a idë :’
gyatganyeh	gy at ganye h
wadake’	w adake’
deyodawënyeh	de yo dawënye h
agiode’	agi ode ’
